,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
3758,1985-52-28958,"Franz Edmund Weirotter, Austrian, 1733 - 1771",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1767,"Plate: 2 13/16 x 6 15/16 inches (7.1 x 17.6 cm)
Sheet: 2 15/16 x 7 3/16 inches (7.5 x 18.3 cm)","Made in Vienna, Austria, Europe",16480,Currently not on view,Etching and drypoint with plate tone,"Plate 2 from Fünfte Folge von Unterschiedlichen Gegenden alter Gebäude, series of 24 prints dedicated to Maria Christina, Archduchess of Austria",Landscape with Soldiers and Ruins,http://www.philamuseum.org/collections/permanent/16480.html
3759,"2004-42-1a,b","Designed by Charles Robert Ashbee, English, 1863 - 1942. Made by The Guild of Handicraft, London, 1895-1919.",,"Gift of Alan Wanzenberg in memory of Jed Johnson, 2004",European Decorative Arts and Sculpture,c. 1900,6 x 9 1/4 x 11 3/4 inches (15.2 x 23.5 x 29.8 cm),"Made in London, England, Europe",279018,Currently not on view,Silver-plate,,Entrée Dish with Hot Water Jacket,http://www.philamuseum.org/collections/permanent/279018.html
3760,1985-52-21879,"Stefano Mulinari, Italian, c. 1741 -  c. 1790. After Giulio Romano, Italian, 1492/99 - 1546. After Girolamo Francesco Maria Mazzola, known as Parmigianino, Italian, 1503 - 1540. After Guido Reni, Italian (active Bologna and Rome), 1575 - 1642.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation","Prints, Drawings, and Photographs",c. 1774,"Plate: 19 3/4 x 15 9/16 inches (50.2 x 39.5 cm)
Sheet: 25 13/16 x 18 1/16 inches (65.5 x 45.8 cm)","Made in Tuscany, Italy, Europe",27885,Currently not on view,"Etching printed in brown and ochre ink, in wash manner with toolwork tone and chemical tone",,"Drawings by Giulio Romano, Parmigianino, and Reni",http://www.philamuseum.org/collections/permanent/27885.html
3761,1958-133-1022,"JOB (pseudonym for Jacques Onfroy de Breville), French, 1858 - 1931. Published by A. Quantin, 7 Rue St. Benoit, Paris.",,"Gift of Alice Newton Osborn, 1958","Prints, Drawings, and Photographs",1890,Image: 12 1/2 x 8 3/4 inches (31.8 x 22.2 cm),"Made in Paris, France, Europe",227602,Currently not on view,Color lithograph,,L'Enfant et le Maître d'École (Fable de La Fontaine),http://www.philamuseum.org/collections/permanent/227602.html
3762,1961-157-8(135),"Leonard Baskin, American, 1922 - 2000. Printed by Gehenna Press, Northampton, Massachusetts.","© The Estate of Leonard Baskin, Courtesy Galerie St. Etienne, New York","Gift (by exchange) of the Charles M. Lea Collection, the William S. Pilling Collection, T. Edward Ross, and Bryant W. Langston, 1961","Prints, Drawings, and Photographs",1957; 1961 (publication),"Image: 2 3/16 × 1 1/16 inches (5.6 × 2.7 cm)
Sheet: 17 x 17 1/2 inches (43.2 x 44.5 cm)","Printed in Northampton, Massachusetts, United States, North and Central America",219934,Currently not on view,Wood engraving,"Reprint, Number 135 from the portfolio The Wood Engravings of Leonard Baskin, 1948-1959 (Northampton, MA: The Gehenna Press, 1961)",Owl and Pomegranate,http://www.philamuseum.org/collections/permanent/219934.html
3763,1985-52-36733,"Jacques Callot, French, 1592 - 1635",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1620,"Plate: 2 15/16 x 2 5/16 inches (7.5 x 5.8 cm)
Sheet: 3 1/8 x 2 7/16 inches (8 x 6.2 cm)","Made in France, Europe",991,Currently not on view,Etching and engraving,Avaritia,Greed,http://www.philamuseum.org/collections/permanent/991.html
3764,Cat. 58,"Artist/maker unknown, Florentine, and Master of the Arcetri Altarpiece, Italian (active Florence),  c. 1470 - 1500. Formerly attributed to Master of the Fiesole Epiphany (Filippo di Giuliano Matteo?), Italian (active Florence), active c. 1480 - c. 1500.",,"John G. Johnson Collection, 1917",European Painting,1480s,32 1/8 x 23 1/2 inches (81.6 x 59.7 cm),"Made in Florence, Italy, Europe",102374,Currently not on view,Tempera and tooled gold on panel,,"Enthroned Virgin and Child, with a Bishop Saint, Saints Benedict, Bernard, and Mary Magdalene",http://www.philamuseum.org/collections/permanent/102374.html
3765,1976-148-1,"Artist/maker unknown. After Thomas Eakins, American, 1844 - 1916.",,"Gift of Beatrice Fenton, 1976","Prints, Drawings, and Photographs",1893,"Image and sheet: 10 3/16 × 14 1/16 inches (25.8 × 35.7 cm)
Mount: 15 × 18 7/8 inches (38.1 × 48 cm)","Made in United States, North and Central America",70705,Currently not on view,Collotype,,The Agnew Clinic,http://www.philamuseum.org/collections/permanent/70705.html
3766,1985-52-38678,"Giovanni Volpato, Italian, 1735 - 1803. After Giovanni Francesco Barbieri (called il Guercino), Italian, 1591 - 1666. Copyist Stefano Tofanelli, Italian, 1752 - 1812.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1779-1782,"Plate: 14 5/8 x 18 3/4 inches (37.2 x 47.7 cm)
Sheet: 15 13/16 x 22 1/8 inches (40.2 x 56.2 cm)","Made in Rome, Italy, Europe",29670,Currently not on view,Etching and engraving,From a Set of Three Plates of the Frescos in Palazzo Ludovisi,Lucifer (Day),http://www.philamuseum.org/collections/permanent/29670.html
3767,1960-157-85,"Howard Norton Cook, American, 1901 - 1980",Research inconclusive. Copyright may apply.,"Gift of Carl Zigrosser, 1960","Prints, Drawings, and Photographs",1930,"Plate: 10 7/8 x 7 1/4 inches (27.6 x 18.4 cm)
Sheet: 11 3/8 x 7 15/16 inches (28.9 x 20.2 cm)","Made in United States, North and Central America",58089,Currently not on view,Etching and aquatint,,Queensboro Bridge,http://www.philamuseum.org/collections/permanent/58089.html
3768,1948-18-1y,"Artist/maker unknown, American. Worn by Edward Bringhurst V, American, 1884 - 1939.",,"Gift of Mrs. Henry W. Farnum, 1948",Costume and Textiles,1888-1890,8 1/4 x 3 1/2 inches (21 x 8.9 cm),"Made in United States, North and Central America",206814,Currently not on view,Starched cotton,,Boy's Cuff,http://www.philamuseum.org/collections/permanent/206814.html
3769,1985-52-33762,"Daniel Nikolaus Chodowiecki, German, 1726 - 1801",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1783,Sheet: 5 7/8 x 2 15/16 inches (14.9 x 7.6 cm),"Made in Berlin, Brandenburg, Germany, Europe",17946,Currently not on view,Etching,"Plate 3 from Johann Gottwerth Müller (called Müller von Itzehoe), Siegfried von Lindenberg (4th ed., Leipzig: Carl Friederich Schneidern, 1784)",Siegfried von Lindenberg Interrupts a Fight in Schoolmaster Schwalbe's House,http://www.philamuseum.org/collections/permanent/17946.html
3770,1965-86-2946,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","January 5, 1956",Image and sheet: 9 15/16 × 6 3/8 inches (25.2 × 16.2 cm),"Probably made in New York, New York, United States, North and Central America",238722,Currently not on view,Gelatin silver print,,Carol Channing,http://www.philamuseum.org/collections/permanent/238722.html
3771,1971-180-14,"Toyoharu Kunichika, Japanese, 1835 - 1900. Published by Iseya Kanekichi (Iseken).",,"Gift of Mrs. David Klein, 1971","Prints, Drawings, and Photographs",1864,Ōban tate-e triptych: 14 x 9 1/2 inches (35.6 x 24.1 cm),"Made in Japan, Asia Period: Edo Period (1615-1868)",266138,Currently not on view,"Color woodcut (triptych, left panel)",,Sawamura Tanosuke as Hanaregoma Chokichi (right panel); and Nakamura Shikan as Nuregami Chogoro (left panel),http://www.philamuseum.org/collections/permanent/266138.html
3772,1965-86-5200,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","April 3, 1935",Image and sheet: 9 5/8 × 7 1/8 inches (24.4 × 18.1 cm),"Probably made in New York, New York, United States, North and Central America",240841,Currently not on view,Gelatin silver print,,Zora Neale Hurston,http://www.philamuseum.org/collections/permanent/240841.html
3773,1965-149-2,"Andrea Pantaleo, Italian (active Palermo), recorded 1572 - 1620",,"Gift of Mrs. John Wintersteen, 1965",European Decorative Arts and Sculpture,1613,19 1/2 x 12 1/8 inches (49.5 x 30.8 cm),"Made in Palermo, Sicily, Italy, Europe",60516,Currently not on view,Tin-glazed earthenware (maiolica) with gilded metal rim,,Drug Jar (Albarello) with Saint Peter,http://www.philamuseum.org/collections/permanent/60516.html
3774,1969-290-33,"Artist/maker unknown, American",,"Gift of Fitz Eugene Dixon, Jr., 1969",Costume and Textiles,c. 1916,Center Back Length: 21 inches (53.3 cm),"Made in United States, North and Central America",180405,Currently not on view,White cotton piqué with lace and embroidery,,Girl's Coat,http://www.philamuseum.org/collections/permanent/180405.html
3775,1985-52-26606,"Antonio Grano, Italian, active late 17th to early 18th century",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 17th - early 18th century,"Plate: 9 1/8 x 6 5/16 inches (23.2 x 16.1 cm)
Sheet: 9 3/16 x 6 7/16 inches (23.4 x 16.3 cm)","Made in Palermo, Italy, Europe",26543,Currently not on view,Etching with plate tone,S. Peregrinus,Saint Peregrine,http://www.philamuseum.org/collections/permanent/26543.html
3776,1999-21-166,"Sebastião Salgado, Brazilian, born 1944",© Sebastião Salgado/Amazonas Images,"Gift of Eastman Kodak Company, 1999","Prints, Drawings, and Photographs",1989,"Image: 13 3/4 x 20 13/16 inches (34.9 x 52.9 cm)
Sheet: 19 11/16 x 23 3/4inches (50 x 60.3cm)","Photograph taken in Dhanbad, Bihar, India, Asia",92958,Currently not on view,Gelatin silver print,"From the series Workers, An Archaeology of the Industrial Age","Coal Mining, Dhanbad, Bihar, India",http://www.philamuseum.org/collections/permanent/92958.html
3777,1985-52-24898,"Dominicus Custos, Flemish (active Augsburg), c. 1550 - 1612",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1580-1610,"Plate: 6 7/8 x 4 11/16 inches (17.5 x 11.9 cm)
Sheet: 7 3/4 x 5 1/2 inches (19.7 x 14 cm)","Made in Augsburg, Germany, Europe",78359,Currently not on view,Engraving,From the series of Women from the New Testament,The Widow from Naim,http://www.philamuseum.org/collections/permanent/78359.html
3778,1985-52-22251,"Raphael Morghen, Italian, 1758 - 1833. After Giovanni Francesco Barbieri (called il Guercino), Italian, 1591 - 1666. Copyist Stefano Tofanelli, Italian, 1752 - 1812.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1787,"Plate: 19 1/16 x 22 1/4 inches (48.3 x 56.5 cm)
Sheet: 19 3/16 x 25 3/16 inches (48.8 x 64 cm)","Made in Rome, Italy, Europe",30321,Currently not on view,Etching and engraving,,Lot and His Daughters,http://www.philamuseum.org/collections/permanent/30321.html
3779,1985-52-16992,"George Cuitt II, British, 1779 - 1854",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1810,"Plate: 9 11/16 x 9 13/16 inches (24.6 x 25 cm)
Sheet: 14 15/16 x 11 inches (38 x 28 cm)","Made in England, Europe",104705,Currently not on view,Etching,"Plate from Six Etchings of Select Parts of the Saxon and Gothic Buildings, Now Remaining in the City of Chester","South Porch, Chester Cathedral",http://www.philamuseum.org/collections/permanent/104705.html
3780,1963-155-7,"Artist/maker unknown, Tibetan",,"Gift of Natacha Rambova, 1963",South Asian Art,c. 18th century,7 1/2 × 5 1/8 × 3 3/4 inches (19.1 × 13 × 9.5 cm),"Made in Tibet, Asia Possibly made in Beijing, China, Asia",59397,"Gallery 225, Asian Art, second floor",Gilded copper alloy,,"Arhat, possibly Cudapanthaka",http://www.philamuseum.org/collections/permanent/59397.html
3781,2013-107-1,"Designed by Robert Venturi, American, 1925 - 2018. Made by The Fabric Workshop and Museum, Philadelphia.",,"Purchased with the European Decorative Arts Revolving Fund, 2001",European Decorative Arts and Sculpture,Designed 2001,17 1/4 × 17 1/4 inches (43.8 × 43.8 cm),,325767,Currently not on view,Printed cotton,,"""Grandmother"" Pattern Napkin",http://www.philamuseum.org/collections/permanent/325767.html
3782,1970-243-7,"Attributed to André Giroux, French, 1801 - 1879",,"Purchased with funds contributed by the American Museum of Photography, 1970","Prints, Drawings, and Photographs",c. 1855,"Image and sheet: 8 7/16 × 11 inches (21.5 × 28 cm)
Mount (irregular): 18 3/8 × 23 1/16 inches (46.7 × 58.5 cm)","Photograph taken in France, Europe",142750,Currently not on view,"Albumen silver print, gold chloride toned, from a collodion on glass negative",,Landscape with Effects of the Moon,http://www.philamuseum.org/collections/permanent/142750.html
